Date,Close
2015-01-02,4.178454
2015-01-05,4.179528
2015-01-06,4.183508
2015-01-07,4.179818
2015-01-08,4.190273
2015-01-09,4.230496
2015-01-12,4.251551
2015-01-13,4.277094
2015-01-14,4.272202
2015-01-15,4.267553
2015-01-16,4.27659
2015-01-19,4.264559
2015-01-20,4.269256
2015-01-21,4.27518
2015-01-22,4.259238
2015-01-23,4.273969
2015-01-26,4.324551
2015-01-27,4.324811
2015-01-28,4.33365
2015-01-29,4.346096
2015-01-30,4.346596
2015-02-02,4.337434
2015-02-03,4.312744
2015-02-04,4.311807
2015-02-05,4.325934
2015-02-06,4.335589
2015-02-09,4.325496
2015-02-10,4.301231
2015-02-11,4.279617
2015-02-12,4.302547
2015-02-13,4.359742
2015-02-16,4.372237
2015-02-17,4.425979
2015-02-18,4.369049
2015-02-19,4.381621
2015-02-20,4.392974
2015-02-23,4.39635
2015-02-24,4.401824
2015-02-25,4.403723
2015-02-26,4.408251
2015-02-27,4.408193
2015-03-02,4.38998
2015-03-03,4.400539
2015-03-04,4.376006
2015-03-05,4.309542
2015-03-06,4.278705
2015-03-09,4.264621
2015-03-10,4.274299
2015-03-11,4.180518
2015-03-12,4.185738
2015-03-13,4.192281
2015-03-16,4.138315
2015-03-17,4.178915
2015-03-18,4.23903
2015-03-19,4.238757
2015-03-20,4.305557
2015-03-23,4.318574
2015-03-24,4.373234
2015-03-25,4.310038
2015-03-26,4.339269
2015-03-27,4.287555
2015-03-30,4.270025
2015-03-31,4.323213
2015-04-01,4.27535
2015-04-02,4.291533
2015-04-03,4.295333
2015-04-06,4.358891
2015-04-07,4.383405
2015-04-08,4.355262
2015-04-09,4.379151
2015-04-10,4.414535
2015-04-13,4.378268
2015-04-14,4.344587
2015-04-15,4.347214
2015-04-16,4.295081
2015-04-17,4.317548
2015-04-20,4.323411
2015-04-21,4.314163
2015-04-22,4.373426
2015-04-24,4.353165
2015-04-27,4.400308
2015-04-28,4.447418
2015-04-29,4.438103
2015-04-30,4.438369
2015-05-04,4.399924
2015-05-05,4.384556
2015-05-06,4.382749
2015-05-07,4.365039
2015-05-08,4.361944
2015-05-11,4.378898
2015-05-12,4.393038
2015-05-13,4.380994
2015-05-14,4.427377
2015-05-15,4.452045
2015-05-18,4.458565
2015-05-20,4.4759
2015-05-21,4.461848
2015-05-22,4.448254
2015-05-25,4.425611
2015-05-26,4.390809
2015-05-27,4.402895
2015-05-28,4.397696
2015-05-29,4.388581
2015-06-01,4.378892
2015-06-02,4.315571
2015-06-03,4.320114
2015-06-04,4.359741
2015-06-05,4.340857
2015-06-08,4.333555
2015-06-09,4.150224
2015-06-10,4.179611
2015-06-11,4.248435
2015-06-12,4.276794
2015-06-15,4.266292
2015-06-16,4.224914
2015-06-17,4.249128
2015-06-18,4.265924
2015-06-19,4.291313
2015-06-22,4.305797
2015-06-23,4.32143
2015-06-24,4.316989
2015-06-25,4.340972
2015-06-26,4.320219
2015-06-29,4.326332
2015-06-30,4.280262
2015-07-01,4.280433
2015-07-02,4.270182
2015-07-03,4.277583
2015-07-06,4.257022
2015-07-07,4.301477
2015-07-08,4.285852
2015-07-09,4.240416
2015-07-10,4.292473
2015-07-13,4.318055
2015-07-14,4.335123
2015-07-15,4.332312
2015-07-16,4.333652
2015-07-20,4.328486
