Date,Close
2022-09-09,0
2022-09-12,0
2022-09-13,0
2022-09-14,0
2022-09-15,0
2022-09-16,0.989606
2022-09-19,0.99779
2022-09-20,0.939305
2022-09-21,0.958228
2022-09-22,0.947755
2022-09-23,0.961002
2022-09-26,0.947595
2022-09-27,0.939902
2022-09-28,0.950763
2022-09-29,0.933401
2022-09-30,0.921192
2022-10-03,0.920549
2022-10-04,0.988529
2022-10-05,1.000714
2022-10-06,1.01353
2022-10-07,1.045768
2022-10-10,1.042099
2022-10-11,1.041366
2022-10-12,1.042488
2022-10-13,1.027269
2022-10-14,1.040345
2022-10-17,1.064941
2022-10-18,1.148262
2022-10-19,1.142961
2022-10-20,1.158804
2022-10-21,1.157239
2022-10-24,1.15994
2022-10-25,1.174741
2022-10-26,1.181049
2022-10-27,1.178766
2022-10-28,1.163829
2022-10-31,1.135078
2022-11-01,1.163869
2022-11-02,1.184217
2022-11-03,1.180773
2022-11-04,1.185519
2022-11-07,1.223028
2022-11-08,1.261971
2022-11-09,1.264609
2022-11-10,1.249549
2022-11-11,1.279368
2022-11-14,1.265172
2022-11-15,1.279686
2022-11-16,1.299608
2022-11-17,1.291188
2022-11-18,1.259958
2022-11-21,1.293908
2022-11-22,1.319809
2022-11-23,1.362459
2022-11-24,1.387746
2022-11-25,1.392763
2022-11-28,1.402598
2022-11-29,1.430516
2022-11-30,1.440003
2022-12-01,1.455869
2022-12-02,1.470653
2022-12-05,1.446517
2022-12-06,1.446212
2022-12-07,1.452619
2022-12-08,1.415592
2022-12-09,1.419306
2022-12-12,1.452567
2022-12-13,1.503959
2022-12-14,1.519485
2022-12-15,1.469606
2022-12-16,1.504599
2022-12-19,1.514232
2022-12-20,1.558085
2022-12-21,1.561263
2022-12-22,1.554903
2022-12-23,1.56154
2022-12-26,1.575589
2022-12-27,1.599182
2022-12-28,1.588078
2022-12-29,1.561008
2022-12-30,1.611911
2023-01-02,1.619044
2023-01-03,1.66076
2023-01-04,1.654362
2023-01-05,1.634121
2023-01-06,1.51983
2023-01-09,1.584611
2023-01-10,1.5236
2023-01-11,1.464532
2023-01-12,1.377567
2023-01-13,1.436451
2023-01-16,1.428144
2023-01-17,1.490172
2023-01-18,1.534028
2023-01-19,1.553976
2023-01-20,1.571551
2023-01-23,1.58208
2023-01-24,1.570039
2023-01-25,1.55751
2023-01-26,1.541648
2023-01-27,1.5279
2023-01-30,1.515142
2023-01-31,1.490747
2023-02-01,1.469755
2023-02-02,1.395169
2023-02-03,1.393979
2023-02-06,1.452132
2023-02-07,1.435309
2023-02-08,1.323576
2023-02-09,1.323527
2023-02-10,1.323461
2023-02-13,1.323241
2023-02-14,1.323195
2023-02-15,1.323072
2023-02-16,1.445871
2023-02-17,1.435256
2023-02-20,1.421143
2023-02-21,1.44066
2023-02-22,1.440883
2023-02-23,1.431288
2023-02-24,1.439205
2023-02-27,1.425805
2023-02-28,1.458694
2023-03-01,1.478668
2023-03-02,1.49965
2023-03-03,1.497812
2023-03-06,1.488442
2023-03-07,1.53572
2023-03-08,1.543412
2023-03-09,1.560323
2023-03-10,1.566569
2023-03-13,1.545691
2023-03-14,1.53646
2023-03-15,1.50892
2023-03-16,1.491791
2023-03-17,1.528988
2023-03-20,1.504831
2023-03-21,1.460832
2023-03-22,1.442509
2023-03-23,1.467665
2023-03-24,1.477697
2023-03-27,1.467583
2023-03-28,1.456218
