Date,Close
2025-01-09,1.007313
2025-01-10,1.007966
2025-01-13,1.010998
2025-01-14,1.015085
2025-01-15,1.016343
2025-01-16,1.018627
2025-01-17,1.020663
2025-01-20,1.0264
2025-01-21,1.027801
2025-01-22,1.028871
2025-01-23,1.030125
2025-01-24,1.031569
2025-01-27,1.035249
2025-01-28,1.036905
2025-01-29,1.039248
2025-01-30,1.041177
2025-01-31,1.042739
2025-02-03,1.046262
2025-02-04,1.047093
2025-02-05,1.04874
2025-02-06,1.050161
2025-02-07,1.051598
2025-02-10,1.055424
2025-02-11,1.056607
2025-02-12,1.057499
2025-02-13,1.05867
2025-02-14,1.060276
2025-02-17,1.06425
2025-02-18,1.065469
2025-02-19,1.066881
2025-02-20,1.068162
2025-02-21,1.069388
2025-02-24,1.073453
2025-02-25,1.074763
2025-02-26,1.076275
2025-02-27,1.077381
2025-02-28,1.078932
2025-03-03,1.083225
2025-03-04,1.0845
2025-03-05,1.08592
2025-03-06,1.087286
2025-03-07,1.088625
2025-03-10,1.092794
2025-03-11,1.093782
2025-03-12,1.094843
2025-03-13,1.09601
2025-03-14,1.09768
2025-03-17,1.101545
2025-03-18,1.103096
2025-03-19,1.104467
2025-03-20,1.105233
2025-03-21,1.105372
2025-03-24,1.108826
2025-03-25,1.109098
2025-03-26,1.109201
2025-03-27,1.109249
2025-03-28,1.114387
2025-04-02,1.122994
2025-04-03,1.125705
2025-04-04,1.128258
2025-04-07,1.133642
2025-04-08,1.134646
2025-04-09,1.135651
2025-04-10,1.136727
2025-04-11,1.138615
2025-04-14,1.143166
2025-04-15,1.144498
2025-04-16,1.146139
2025-04-17,1.147541
2025-04-18,1.14914
2025-04-21,1.153983
2025-04-22,1.155937
2025-04-24,1.159047
2025-04-25,1.16054
2025-04-28,1.165198
2025-04-29,1.166454
2025-04-30,1.168137
2025-05-02,1.171377
2025-05-05,1.176058
2025-05-06,1.177603
2025-05-07,1.179326
2025-05-08,1.18136
2025-05-09,1.182921
2025-05-12,1.187674
2025-05-13,1.189308
2025-05-14,1.190877
2025-05-15,1.192132
2025-05-16,1.193708
2025-05-20,1.20009
2025-05-21,1.20192
2025-05-22,1.203727
2025-05-23,1.205852
2025-05-26,1.21102
2025-05-27,1.213208
2025-05-28,1.215027
2025-05-29,1.21698
2025-05-30,1.218446
2025-06-02,1.223014
2025-06-03,1.224393
2025-06-04,1.225568
2025-06-05,1.226685
2025-06-10,1.234823
2025-06-11,1.236254
2025-06-12,1.237765
2025-06-13,1.23958
2025-06-16,1.244168
2025-06-17,1.24548
2025-06-18,1.247043
2025-06-19,1.248714
2025-06-20,1.25029
2025-06-23,1.255235
2025-06-24,1.257104
2025-06-25,1.25881
2025-06-26,1.260662
2025-06-27,1.262302
2025-06-30,1.267178
2025-07-01,1.268809
2025-07-02,1.270515
2025-07-03,1.27261
2025-07-04,1.274264
2025-07-07,1.27913
2025-07-08,1.280525
2025-07-09,1.282612
2025-07-10,1.284584
2025-07-11,1.286673
2025-07-14,1.291806
2025-07-16,1.295412
2025-07-17,1.29736
2025-07-18,1.299074
2025-07-21,1.304504
2025-07-22,1.306593
2025-07-23,1.30873
2025-07-24,1.310471
2025-07-25,1.312303
2025-07-28,1.316897
2025-07-29,1.318024
2025-07-30,1.319304
2025-07-31,1.318881
2025-08-01,1.320179
2025-08-04,1.324886
2025-08-05,1.326465
2025-08-06,1.328447
