Date,Close
2021-06-10,3.061856
2021-06-11,3.088043
2021-06-14,3.097425
2021-06-15,3.085011
2021-06-16,3.080183
2021-06-17,3.054937
2021-06-18,3.037609
2021-06-21,2.99693
2021-06-22,2.995473
2021-06-23,3.013068
2021-06-24,3.006942
2021-06-25,3.024513
2021-06-28,2.996711
2021-06-29,2.960324
2021-06-30,2.960393
2021-07-01,2.951854
2021-07-02,2.973731
2021-07-05,2.990635
2021-07-06,3.033235
2021-07-07,3.028025
2021-07-08,3.045718
2021-07-09,3.023681
2021-07-12,3.032027
2021-07-13,2.986916
2021-07-14,2.966857
2021-07-16,3.000808
2021-07-19,3.010258
2021-07-26,2.98904
2021-07-27,2.99864
2021-07-28,3.011094
2021-07-29,3.013675
2021-07-30,3.055977
2021-08-02,3.053385
2021-08-03,3.066885
2021-08-04,3.084275
2021-08-05,3.103481
2021-08-06,3.126202
2021-08-09,3.135706
2021-08-10,3.135053
2021-08-11,3.167409
2021-08-12,3.120631
2021-08-13,3.180773
2021-08-16,3.199779
2021-08-17,3.206475
2021-08-18,3.232595
2021-08-19,3.22115
2021-08-20,3.22262
2021-08-23,3.231
2021-08-24,3.264073
2021-08-25,3.283147
2021-08-26,3.261162
2021-08-27,3.247538
2021-08-31,3.253025
2021-09-01,3.280461
2021-09-02,3.286894
2021-09-03,3.296896
2021-09-06,3.271768
2021-09-07,3.287287
2021-09-08,3.256588
2021-09-09,3.210642
2021-09-10,3.243148
2021-09-13,3.219917
2021-09-14,3.22187
2021-09-15,3.222206
2021-09-16,3.218695
2021-09-17,3.212002
2021-09-20,3.20588
2021-09-21,3.152665
2021-09-22,3.138298
2021-09-23,3.174897
2021-09-24,3.172065
2021-09-27,3.129167
2021-09-28,3.146941
2021-09-29,3.148358
2021-09-30,3.162866
2021-10-01,3.192265
2021-10-04,3.18829
2021-10-05,3.187578
2021-10-06,3.189559
2021-10-07,3.145282
2021-10-08,3.188189
2021-10-11,3.196444
2021-10-12,3.233625
2021-10-13,3.234704
2021-10-14,3.230072
2021-10-15,3.232368
2021-10-18,3.224433
2021-10-19,3.231549
2021-10-20,3.262594
2021-10-21,3.267348
2021-10-22,3.297479
2021-10-25,3.348853
2021-10-26,3.36351
2021-10-27,3.381345
2021-10-28,3.406601
2021-11-01,3.40195
2021-11-02,3.418959
2021-11-03,3.42102
2021-11-04,3.458617
2021-11-05,3.517669
2021-11-08,3.540702
2021-11-09,3.59595
2021-11-10,3.610354
2021-11-11,3.646311
2021-11-12,3.655335
2021-11-15,3.667577
2021-11-16,3.764318
2021-11-17,3.725082
2021-11-18,3.762828
2021-11-19,3.79508
2021-11-22,3.801159
2021-11-23,3.831389
2021-11-24,3.871941
2021-11-25,3.892603
2021-11-26,3.892236
2021-11-29,3.837491
2021-11-30,3.877789
2021-12-01,3.896099
2021-12-02,3.968098
2021-12-03,3.995109
2021-12-06,4.040645
2021-12-07,4.106401
2021-12-08,4.173232
2021-12-09,4.225191
2021-12-10,4.261325
2021-12-13,4.287035
2021-12-14,4.395587
2021-12-15,4.491541
2021-12-16,4.539055
2021-12-17,4.737712
2021-12-20,4.401968
2021-12-21,4.337639
2021-12-22,4.017447
2021-12-23,3.851597
2021-12-24,3.822378
2021-12-27,3.951191
2021-12-28,3.931931
2021-12-29,3.818222
2021-12-30,3.893743
2021-12-31,3.854823
2022-01-03,3.935188
2022-01-04,4.041714
2022-01-05,4.085794
2022-01-06,4.1387
2022-01-07,4.152584
2022-01-10,4.19093
2022-01-11,4.205689
2022-01-12,4.179261
2022-01-13,4.200374
2022-01-14,4.214023
2022-01-17,4.203271
2022-01-18,4.227622
2022-01-19,4.181702
2022-01-20,4.154886
2022-01-21,4.104578
2022-01-24,4.092155
2022-01-25,3.992025
2022-01-26,3.969863
2022-01-27,3.980426
2022-01-28,4.077049
2022-01-31,4.040161
2022-02-01,4.068002
2022-02-02,4.088599
2022-02-03,4.069198
2022-02-04,3.976995
2022-02-07,3.948441
2022-02-08,4.055464
2022-02-09,4.082232
2022-02-10,4.154434
2022-02-11,4.143503
2022-02-14,4.170829
2022-02-15,4.077153
2022-02-16,4.146384
2022-02-17,4.145899
2022-02-18,4.086186
2022-02-21,4.126645
2022-02-22,4.136889
2022-02-23,4.102822
2022-02-24,4.097412
2022-02-25,3.797385
2022-02-28,3.983209
2022-03-01,3.984253
2022-03-02,4.019794
2022-03-03,4.050577
2022-03-04,4.121235
2022-03-07,4.049731
2022-03-08,4.058271
2022-03-09,4.247497
2022-03-10,4.305638
2022-03-11,4.308703
2022-03-14,4.330829
2022-03-15,4.394114
2022-03-16,4.367788
2022-03-17,4.380525
2022-03-18,4.472729
2022-03-21,4.478235
2022-03-22,4.536154
2022-03-23,4.624491
2022-03-24,4.604126
2022-03-25,4.592912
2022-03-28,4.580948
2022-03-29,4.561514
2022-03-30,4.651687
2022-03-31,4.712934
2022-04-01,4.70864
2022-04-04,4.764132
2022-04-05,4.900181
2022-04-06,4.921783
2022-04-07,4.886095
2022-04-08,4.946054
2022-04-11,5.055811
2022-04-12,5.1785
2022-04-13,5.216365
2022-04-14,5.22105
2022-04-15,5.250476
2022-04-18,5.281332
2022-04-19,5.31689
2022-04-20,5.331878
2022-04-21,5.334612
2022-04-22,5.402824
2022-04-25,5.225722
2022-04-26,5.264685
2022-04-27,5.120604
2022-04-28,5.195498
2022-04-29,5.138453
2022-05-05,5.141578
2022-05-06,5.221408
2022-05-09,5.217139
2022-05-10,5.234987
2022-05-11,5.29718
2022-05-12,5.233725
2022-05-13,5.096109
2022-05-16,5.129644
2022-05-17,5.062231
2022-05-18,5.073783
2022-05-20,5.079756
2022-05-23,5.03222
2022-05-24,5.055146
2022-05-25,5.031696
2022-05-26,5.135885
2022-05-27,5.206187
2022-05-30,5.174762
2022-05-31,5.366773
2022-06-01,5.398689
2022-06-02,5.423338
2022-06-03,5.485171
2022-06-06,5.457543
2022-06-07,5.553059
2022-06-08,5.554637
2022-06-09,5.340963
2022-06-10,5.395112
2022-06-13,5.303304
2022-06-14,5.256795
2022-06-15,5.257392
2022-06-16,5.289891
2022-06-17,5.184701
2022-06-20,5.281132
2022-06-21,5.320202
2022-06-22,5.401247
2022-06-23,5.411399
2022-06-24,5.328548
2022-06-27,5.351421
2022-06-28,5.30066
2022-06-29,5.212813
2022-06-30,5.041476
2022-07-01,5.048361
2022-07-04,5.126446
2022-07-05,5.062348
2022-07-06,4.982641
2022-07-07,5.059032
2022-07-08,5.080502
2022-07-13,5.111399
2022-07-14,5.033789
2022-07-18,4.952689
2022-07-19,5.098181
2022-07-20,5.199835
2022-07-21,5.259241
2022-07-22,5.235211
2022-07-25,5.234954
2022-07-26,5.288167
2022-07-27,5.290948
2022-07-28,5.31069
2022-07-29,5.304262
2022-08-01,5.410931
2022-08-02,5.534381
2022-08-03,5.523723
2022-08-04,5.59812
2022-08-05,5.670942
2022-08-08,5.733246
2022-08-09,5.827388
2022-08-10,5.809224
2022-08-11,5.898609
2022-08-12,5.976324
2022-08-15,5.97038
2022-08-16,5.932304
2022-08-17,6.04786
2022-08-18,6.170645
2022-08-19,6.248064
2022-08-22,6.216561
2022-08-23,6.300715
2022-08-24,6.445152
2022-08-25,6.324211
2022-08-26,6.483303
2022-08-29,6.490497
2022-08-31,6.523607
2022-09-01,6.514333
2022-09-02,6.431737
2022-09-05,6.593276
2022-09-06,6.903901
2022-09-07,6.957312
2022-09-08,6.999411
2022-09-09,7.065185
2022-09-12,7.252814
2022-09-13,7.534037
2022-09-14,7.04159
2022-09-15,7.078707
2022-09-16,6.884739
2022-09-19,6.927618
2022-09-20,6.550888
2022-09-21,6.756168
2022-09-22,6.696633
2022-09-23,6.776281
2022-09-26,6.749047
2022-09-27,6.702275
2022-09-28,6.748919
2022-09-29,6.626753
2022-09-30,6.525325
2022-10-03,6.569914
2022-10-04,7.002019
2022-10-05,7.127265
2022-10-06,7.17551
2022-10-07,7.313362
2022-10-10,7.323057
2022-10-11,7.340139
2022-10-12,7.293714
2022-10-13,7.19873
2022-10-14,7.298827
2022-10-17,7.424614
2022-10-18,7.88735
2022-10-19,7.869769
2022-10-20,7.953205
2022-10-21,7.943897
2022-10-24,7.985468
2022-10-25,8.081231
2022-10-26,8.045534
2022-10-27,8.054167
2022-10-28,7.948824
2022-10-31,7.81682
2022-11-01,7.941578
2022-11-02,8.051088
2022-11-03,8.105186
2022-11-04,8.097619
2022-11-07,8.319912
2022-11-08,8.55674
2022-11-09,8.527829
2022-11-10,8.450878
2022-11-11,8.684394
2022-11-14,8.595957
2022-11-15,8.759806
2022-11-16,8.865009
2022-11-17,8.836597
2022-11-18,8.650485
2022-11-21,8.805384
2022-11-22,8.950064
2022-11-23,9.196613
2022-11-24,9.294005
2022-11-25,9.431286
2022-11-28,9.49232
2022-11-29,9.577269
2022-11-30,9.622636
2022-12-01,9.70344
2022-12-02,9.75658
2022-12-05,9.502128
2022-12-06,9.490221
2022-12-07,9.582724
2022-12-08,9.320562
2022-12-09,9.385351
2022-12-12,9.567653
2022-12-13,9.862757
2022-12-14,10.015926
2022-12-15,9.766613
2022-12-16,10.069314
2022-12-19,10.17091
2022-12-20,10.557573
