Date,Close
2025-01-22,0.993452
2025-01-23,1.009202
2025-01-24,1.003933
2025-01-27,1.003555
2025-01-28,0.999573
2025-01-29,1.015536
2025-01-30,1.017733
2025-01-31,1.016374
2025-02-03,1.0139
2025-02-04,1.004454
2025-02-05,1.015216
2025-02-06,1.013756
2025-02-07,1.022018
2025-02-10,1.026021
2025-02-11,1.024412
2025-02-12,1.033765
2025-02-13,1.025709
2025-02-14,1.035365
2025-02-17,1.032903
2025-02-18,1.032947
2025-02-19,1.041157
2025-02-20,1.032508
2025-02-21,1.037241
2025-02-24,1.019221
2025-02-25,1.01409
2025-02-26,1.006445
2025-02-27,1.021896
2025-02-28,1.036527
2025-03-03,1.034026
2025-03-04,1.065923
2025-03-05,1.075795
2025-03-06,1.097317
2025-03-07,1.11942
2025-03-10,1.133005
2025-03-11,1.129767
2025-03-12,1.131071
2025-03-13,1.156256
2025-03-14,1.167338
2025-03-17,1.187229
2025-03-18,1.183416
2025-03-19,1.181387
2025-03-20,1.098114
2025-03-21,1.09339
2025-03-24,1.020444
2025-03-25,1.048375
2025-03-26,1.082494
2025-03-27,1.08126
2025-03-28,1.084449
2025-04-02,1.096441
2025-04-03,1.086383
2025-04-04,1.082192
2025-04-07,1.073103
2025-04-08,1.059396
2025-04-09,1.068118
2025-04-10,1.049884
2025-04-11,1.056088
2025-04-14,1.058637
2025-04-15,1.067923
2025-04-16,1.067352
2025-04-17,1.048527
2025-04-18,1.073967
2025-04-21,1.071229
2025-04-22,1.094341
2025-04-24,1.077653
2025-04-25,1.10296
2025-04-28,1.100144
2025-04-29,1.083502
2025-04-30,1.075345
2025-05-02,1.064095
2025-05-05,1.064248
2025-05-06,1.060802
2025-05-07,1.071076
2025-05-08,1.056395
2025-05-09,1.07754
2025-05-12,1.093988
2025-05-13,1.125291
2025-05-14,1.124064
2025-05-15,1.12209
2025-05-16,1.107295
2025-05-20,1.119761
2025-05-21,1.103203
2025-05-22,1.086038
2025-05-23,1.092932
2025-05-26,1.080071
2025-05-27,1.073716
2025-05-28,1.056673
2025-05-29,1.054954
2025-05-30,1.059742
2025-06-02,1.042806
2025-06-03,1.041552
2025-06-04,1.068241
2025-06-05,1.084312
2025-06-10,1.085146
2025-06-11,1.111462
2025-06-12,1.113616
2025-06-13,1.099853
2025-06-16,1.074366
2025-06-17,1.078034
2025-06-18,1.074871
2025-06-19,1.061023
2025-06-20,1.052848
